Campaign name,Country,Ad Set Name,Ad name,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
TT 486 | DVY | Best Aud. | C-1 | SJ-AI-DVY-AK | M4 | Lead | CBO | 20.05.25,TR,(+22 Yrs) UB | SA 79 | 1.3M | 10.01.25,SJ-AI-DVY-AK-1,16.89,4931,5052,34.0,DVY_Egitimi_OptinTebriklerSayfasi,2.815,6.0,3.3432304,0.49676471,1.08867775,2025-05-10,2025-05-22
TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.04.25,TR,TT SA 50 | UB 49+Gelir | 1.2M | 13.03.25,OTPKİ-OLT-BK-3,16.88,9256,9592,51.0,DVY_Egitimi_OptinTebriklerSayfasi,1.87555556,9.0,1.75979983,0.33098039,0.95913261,2025-05-10,2025-05-22
AZ/Turkic | TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.05.25,AZ,TT SA 50 | UB 49+Gelir | 1.2M | 13.03.25,OTPKİ-OLT-BK-1,16.71,6186,6476,51.0,DVY_Egitimi_OptinTebriklerSayfasi,1.85666667,9.0,2.58029648,0.32764706,1.20444719,2025-05-10,2025-05-22
TT 475 | DVY | BROAD GLOBAL-2 | 14D Best Ads. | M2 | CBO | Sales | 16.05.25,AZ,TT SA 74 | BROAD-GLOBAL 2,OTPKİ-OLT-BK-4,16.3,4744,4862,21.0,DVY_Egitimi_OptinTebriklerSayfasi,4.075,4.0,3.35252982,0.77619048,1.06951872,2025-05-10,2025-05-22
FC 036 | DVY | 13 Mayis |  OTPKİ-OLT-BK |,AZ,(+22 Yrs) FC OTU SA 8 | Fenomen Girisimciler| 3 Milyon,OTPKİ-OLT-BK-3 | Bos Is | Ortakli | - Kopya,16.13,4140,4596,38.0,DVY_Egitimi_OptinTebriklerSayfasi,0.89611111,18.0,3.50957354,0.42447368,1.41427328,2025-05-10,2025-05-22
TT 454 | DVY | Best Aud. | D-1 | OTPKİ | M2 | Lead | CBO | 13.05.25,TR,(+22 Yrs) UB | SA 75,OTPKİ-OLT-BK-1,16.06,6720,6920,32.0,DVY_Egitimi_OptinTebriklerSayfasi,3.212,5.0,2.32080925,0.501875,0.85260116,2025-05-10,2025-05-22
TT 469 | DVY | AZ-2 | 14D Best Ads. 2 | M4 | Lead | CBO | 16.05.25,AZ,TT SA 70 | AZ Solo Tech | 400K | 15.05.25,OTPKİ-OLT-BK-3,16.01,4732,5432,31.0,DVY_Egitimi_OptinTebriklerSayfasi,2.00125,8.0,2.94734904,0.51645161,0.95729013,2025-05-10,2025-05-22
"FC 014 | DVY| 26 Nisan| 1,80 $",TR,(+22 Yrs) Winner DA SA3 - 2 $,AK-gbi-3 | Bos isler| - Kopya,15.98,1856,2677,30.0,DVY_Egitimi_OptinTebriklerSayfasi,2.28285714,7.0,5.9693687,0.53266667,1.94247292,2025-05-10,2025-05-22
FC 029 | DVY| Lead | CBO | Pazarlama | 4 Mayis |,TR,"Pazarlama 2 Mayis 2025 - 2,25 $",OTPKİ-OLT-BK-3,15.94,9968,10180,28.0,DVY_Egitimi_OptinTebriklerSayfasi,3.985,4.0,1.56581532,0.56928571,0.43222004,2025-05-10,2025-05-22
TT ASC 1 Test 18-65 | ÖS |  DVY | 14D Best Ads. | M4 | CBO | 17.05.25 Campaign,TR,TT ASC 1 Test 18-65 | ÖS |  DVY | 14D Best Ads. | M4 | CBO | 17.05.25 Ad set,OTPKİ-OLT-BK-4,15.83,8826,9005,59.0,DVY_Egitimi_OptinTebriklerSayfasi,1.43909091,11.0,1.75791227,0.26830508,1.31038312,2025-05-10,2025-05-22
TT 469 | DVY | AZ-2 | 14D Best Ads. 2 | M4 | Lead | CBO | 16.05.25,AZ,TT SA 71 | AZ Marketing | 900K | 15.05.25,OTPKİ-OLT-BK-3,15.82,4212,4655,38.0,DVY_Egitimi_OptinTebriklerSayfasi,2.63666667,6.0,3.39849624,0.41631579,1.39634801,2025-05-10,2025-05-22
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,TR,TT ABO 26 | SJ-MK-V1| TT 49 | 1.5,SJ-AI-DVY-MK-2 - Copy,15.62,5516,5757,48.0,DVY_Egitimi_OptinTebriklerSayfasi,7.81,2.0,2.71321869,0.32541667,1.33750217,2025-05-10,2025-05-22
TT 469 | DVY | AZ-2 | 14D Best Ads. 2 | M4 | Lead | CBO | 16.05.25,AZ,TT SA 68 | AZ Marketing&Money | 350K | 15.05.25,OTPKİ-OLT-BK-4,15.11,4421,4555,49.0,DVY_Egitimi_OptinTebriklerSayfasi,1.88875,8.0,3.31723381,0.30836735,1.73435785,2025-05-10,2025-05-22
FC 036 | DVY | 13 Mayis |  OTPKİ-OLT-BK |,TR,(+22 Yrs) FC OTU SA 6,OTPKİ-OLT-BK-1 | Bos Is | Ortakli | - Kopya,15.09163844,4216,4684,23.0,DVY_Egitimi_OptinTebriklerSayfasi,2.51527307,6.0,3.22195526,0.65615819,1.13151153,2025-05-10,2025-05-22
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,TR,TT ABO 28 | SJ-MK-V1| TT 49 | 2.5,SJ-AI-DVY-MK-1 - Copy,14.94,5582,5802,40.0,DVY_Egitimi_OptinTebriklerSayfasi,14.94,1.0,2.57497415,0.3735,1.17200965,2025-05-10,2025-05-22
TT 474 | ÖS | DVY | New Aud. 1-1 | AK-gbi-5 | M4 | Lead | CBO | 15.05.25 - Copy,TR,TT SA 43 | FC SA 7&Yazarlar | 1.5M | 11.03.25,AK-gbi-1,14.78,2846,2963,18.0,DVY_Egitimi_OptinTebriklerSayfasi,7.39,2.0,4.98818765,0.82111111,1.24873439,2025-05-10,2025-05-22
