Universal_Campaign_ID,Country,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,GE,3.20003482,1696,1870,6.0,DVY_Egitimi_OptinTebriklerSayfasi,3.20003482,1.0,1.71124856,0.53333914,0.7486631,2025-05-23,2025-05-29
TT ASC 2 | DVY | EU | 14D Best Ads. | M2 | CBO | Sales | 24.05.25 Campaign,ES,3.19,381,407,2.0,,,,7.83783784,1.595,1.22850123,2025-05-23,2025-05-29
GLOBAL | TT 493 | ÖS | DVY | Best Aud. | B-1 | 14D Best Ads. | M4 | Lead | CBO | 21.05.25,GR,3.18,784,872,8.0,,,,3.64678899,0.3975,1.26146789,2025-05-23,2025-05-29
TT 503 | DVY | GLOBAL-ABO | Sales | 26.05.25,XK,3.17,1112,1339,5.0,,,,2.36743839,0.634,1.26960418,2025-05-23,2025-05-29
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,RS,3.16023894,1152,1684,8.0,DVY_Egitimi_OptinTebriklerSayfasi,3.16023894,1.0,1.87662645,0.39502987,0.83135392,2025-05-23,2025-05-29
TT 503 | DVY | GLOBAL-ABO | Sales | 26.05.25,AE,3.16,240,321,3.0,DVY_Egitimi_OptinTebriklerSayfasi,3.16,1.0,9.84423676,1.05333333,1.86915888,2025-05-23,2025-05-29
TT 504 | DVY | TT SA 73-2 | BROAD-GLOBAL 18-65 | MM-DVY-MK | M4 | Lead | CBO | 27.05.25,XK,3.1132973,811,1065,11.0,,,,2.92328385,0.28302703,1.50234742,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,RS,3.0700334,768,1123,9.0,,,,2.73377863,0.34111482,1.7809439,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,ES,3.04003308,352,471,2.0,,,,6.45442267,1.52001654,1.06157113,2025-05-23,2025-05-29
TT 500 | DVY | Best Aud. | A-1 | MM-DVY-MK | M4 | Lead | CBO | 24.05.25,CY,3.04,1192,1292,9.0,DVY_Egitimi_OptinTebriklerSayfasi,1.52,2.0,2.35294118,0.33777778,1.00619195,2025-05-23,2025-05-29
TT 504 | DVY | TT SA 73-2 | BROAD-GLOBAL 18-65 | MM-DVY-MK | M4 | Lead | CBO | 27.05.25,RO,3.02232432,340,465,7.0,DVY_Egitimi_OptinTebriklerSayfasi,3.02232432,1.0,6.4996222,0.43176062,2.58064516,2025-05-23,2025-05-29
TT 503 | DVY | GLOBAL-ABO | Sales | 26.05.25,IT,3.02,488,586,4.0,,,,5.15358362,0.755,2.21843003,2025-05-23,2025-05-29
