Campaign name,Country,Ad Set Name,Ad name,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,CY,2.25 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-EMY-3,2.82,1100,1114,6.0,BV_YP_DVY_Seminer_ThankYouPage,2.82,1.0,2.53141831,0.47,0.71813285,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,TR,2.5 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,DVY_BSSG_FK_2,2.78,490,507,5.0,,,,5.48323471,0.556,1.57790927,2025-05-10,2025-05-22
TT 17 | DVY | Hedeflemesiz | IPS-DYV-MK-P2 | M4 | Lead | CBO | 11.05.25,TR,24-54,IPS-DYV-MK-5,2.76,476,492,3.0,,,,5.6097561,0.92,1.01626016,2025-05-10,2025-05-22
TT 17 | DVY | Hedeflemesiz | IPS-DYV-MK-P2 | M4 | Lead | CBO | 11.05.25,TR,22-45,BK-OBD-3,2.75,315,328,,,,,8.38414634,,0.6097561,2025-05-10,2025-05-22
TT 29 | DVY | H-1 | LVEY-DVY-MK-SNS | M4 | Lead | CBO | 12.05.25,TR,(+22) UB | SA 8,LVEY-DVY-MK-3,2.74,332,340,4.0,BV_YP_DVY_Seminer_ThankYouPage,2.74,1.0,8.05882353,0.685,1.17647059,2025-05-10,2025-05-22
TT 30 | Test-005 FC/aud mixed | DVY | OTPKI-OLT-BK | Lead | 12.05.25,TR,(+22 Yrs) FC SA 60,OTPKİ-OLT-BK-4,2.73,767,780,2.0,,,,3.5,1.365,1.92307692,2025-05-10,2025-05-22
TT 33 | DVY | TT SA 47 | SJ-MK | M4 | Sales | CBO-BID | 16.05.25,TR,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,SJ-AI-DVY-MK-2,2.71,326,328,5.0,BV_YP_DVY_Seminer_ThankYouPage,2.71,1.0,8.26219512,0.542,1.82926829,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,UZ,2.5 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,SJ-AI-DVY-MK-1,2.69,840,880,4.0,BV_YP_DVY_Seminer_ThankYouPage,1.345,2.0,3.05681818,0.6725,0.90909091,2025-05-10,2025-05-22
AZ/Turkic | TT 31 | DVY | B-1 | 14D Best Ads. | M4 | Lead | CBO | 13.05.25,TM,(+22) | UB | SA 63,OTPKİ-OLT-BK-1,2.67,1417,1486,9.0,BV_YP_DVY_Seminer_ThankYouPage,2.67,1.0,1.79676985,0.29666667,0.53835801,2025-05-10,2025-05-22
TT 17 | DVY | Hedeflemesiz | IPS-DYV-MK-P2 | M4 | Lead | CBO | 11.05.25,TR,23-55,IPS-DYV-MK-6,2.65,391,405,6.0,BV_YP_DVY_Seminer_ThankYouPage,2.65,1.0,6.54320988,0.44166667,1.72839506,2025-05-10,2025-05-22
