Campaign name,Country,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,TH,0.23,0,55,,BV_YP_DVY_Seminer_ThankYouPage,0.23,1.0,4.18181818,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,FR,0.22,24,44,2.0,,,,5.0,0.11,6.81818182,2025-05-23,2025-05-29
TT 38 | DVY | GLOBAL-Genel Hedeflemeler | OLT-BK | M4 | Lead | CBO | 25.05.25,HR,0.22,44,56,,,,,3.92857143,,0.0,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,NO,0.22,5,6,,,,,36.66666667,,0.0,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,GB,0.22,58,58,,,,,3.79310345,,1.72413793,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,ES,0.22,13,14,,,,,15.71428571,,0.0,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,DK,0.21,7,8,,,,,26.25,,0.0,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,FI,0.21,9,9,,,,,23.33333333,,0.0,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,HU,0.21,17,17,,,,,12.35294118,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,PL,0.19,47,47,,,,,4.04255319,,0.0,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,FI,0.19,9,9,,,,,21.11111111,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,QA,0.19,40,47,1.0,,,,4.04255319,0.19,2.12765957,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,CM,0.19,64,78,,,,,2.43589744,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,KH,0.18,17,17,,,,,10.58823529,,11.76470588,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,HU,0.18,16,16,1.0,,,,11.25,0.18,6.25,2025-05-23,2025-05-29
TT 06 | DVY | C-1 | 14D Best Ads.-P1 | M4 | Lead | CBO | 08.05.25,GB,0.17,24,37,,,,,4.59459459,,0.0,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,DZ,0.17,244,244,2.0,,,,0.69672131,0.085,0.81967213,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,AL,0.17,32,36,1.0,,,,4.72222222,0.17,5.55555556,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,XK,0.17,65,65,,,,,2.61538462,,0.0,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,UA,0.17,28,31,,,,,5.48387097,,0.0,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,RO,0.16,24,31,1.0,,,,5.16129032,0.16,3.22580645,2025-05-23,2025-05-29
TT 38 | DVY | GLOBAL-Genel Hedeflemeler | OLT-BK | M4 | Lead | CBO | 25.05.25,LV,0.15,14,14,,,,,10.71428571,,0.0,2025-05-23,2025-05-29
TT 06 | DVY | C-1 | 14D Best Ads.-P1 | M4 | Lead | CBO | 08.05.25,NL,0.15,31,31,,,,,4.83870968,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,CI,0.15,32,43,,,,,3.48837209,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,CA,0.14,14,14,,,,,10.0,,0.0,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,NL,0.14,58,58,,,,,2.4137931,,1.72413793,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,DK,0.14,8,9,1.0,,,,15.55555556,0.14,11.11111111,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,TN,0.14,96,96,2.0,,,,1.45833333,0.07,2.08333333,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,BE,0.14,21,21,,,,,6.66666667,,0.0,2025-05-23,2025-05-29
